emp_no,first_name,last_name,gender,salary,to_date,dept_no
55632,Byong,Ravishankar,F,40000,1997-04-23,d004
55129,Monique,Morris,M,40000,1989-06-12,d003
55637,Szabolcs,Erde,M,40000,1995-01-23,d004
55131,Saeed,Eugenio,F,41773,1995-10-09,d004
55639,Gaetan,Bridgland,F,40000,1987-10-11,d004
55641,Arra,Moehrke,M,46639,1994-01-11,d005
55132,Richara,Alblas,M,58087,1993-03-29,d001
55646,Jiakeng,Schmittgen,M,72867,1996-08-13,d007
55139,Nigel,Sommer,M,61279,1994-04-08,d005
55653,Aral,Bernardinello,M,40000,1993-01-13,d003
55655,Pranav,Tzvieli,M,72953,1990-10-02,d005
55656,Toshimo,Molenaar,M,41410,1990-07-22,d002
55696,Mohamadou,Giaccio,F,40000,1997-02-08,d006
55665,Mantis,Maginnis,F,40857,1986-09-07,d004
55669,Shounak,Saoudi,F,46585,1986-03-03,d004
55674,Fumiko,Biron,M,61549,1990-12-06,d005
55675,Rimli,Molenkamp,M,74954,1997-10-03,d007
55681,Hatsukazu,Azuma,M,40000,1993-03-13,d005
55682,Moto,Hanabata,F,40000,1990-02-18,d005
55684,Mokhtar,Cappelli,F,56284,1996-03-30,d004
55686,Ipke,Shinomoto,M,40000,1992-02-21,d004
55699,Aluzio,Liesche,F,40000,1994-05-14,d005
55701,JoAnne,Dulin,M,50227,2001-01-03,d002
55702,Gianluca,Kopetz,F,40000,1987-09-21,d003
55704,Conor,Matzov,F,68342,1991-01-31,d005
55707,Vugranam,Stiles,M,53272,1989-12-27,d004
55711,Uzi,Mamelak,M,61290,1986-02-16,d004
55713,Arie,Serdy,M,49481,1990-03-11,d004
55715,Heon,Silva,F,46982,1988-09-14,d004
55718,Jeane,McAffer,M,56448,1992-02-14,d007
55720,Guther,Kamber,F,43566,1990-05-03,d004
55894,Atreye,Schaft,F,59833,1997-12-11,d006
55897,Jiafu,Karnin,F,47585,1987-09-01,d004
55722,Muzhong,Condotta,F,60168,1993-10-18,d004
55726,Vitali,Krohm,M,46394,1997-11-30,d001
55907,Ghassan,Herbst,M,46416,1989-07-16,d007
55908,Xinglin,Ghalwash,F,63240,1992-11-07,d007
55911,Randi,Noriega,M,40000,1993-05-09,d009
55727,Dmitri,Hiyoshi,M,49572,1987-07-18,d001
55914,Lobel,Thibadeau,F,44031,1988-05-06,d004
55728,Zito,Remmers,M,40000,1989-08-20,d003
55919,Chiranjit,Nergos,F,40000,1987-02-12,d006
55729,Carrsten,Vesna,F,61657,1989-09-13,d004
55929,Moni,Marakhovsky,M,68033,1989-05-28,d001
55738,Mitsuyuki,Backhouse,F,40000,1997-01-02,d005
55933,Kristin,Kirkerud,M,69722,1990-05-20,d007
55935,Theirry,Skafidas,M,40000,1996-06-22,d005
55936,Mona,Michaeli,F,51227,1998-09-24,d002
55749,Heeju,Horswill,F,42795,1998-01-30,d004
55945,Becky,Biros,M,46967,1994-11-10,d005
55946,Shan,Wossner,M,41947,1989-12-22,d008
55947,Narain,Asmuth,F,43166,2000-11-25,d004
55949,Felicidad,Gini,M,78677,1997-01-17,d007
55756,Alair,Warwick,M,78624,1987-09-14,d009
55956,Barun,Rebaine,M,40000,2000-05-19,d006
55961,Alassane,Validov,F,40000,1995-05-21,d004
55964,Aleksander,Auyong,F,47105,1997-12-27,d009
55762,Pascal,Rajcani,M,52400,1994-12-16,d004
55967,Hongzhu,Pena,M,59191,1990-12-11,d004
55969,Udaiprakash,Gerteisen,F,40000,1992-06-19,d009
55971,Karoline,Gustavson,M,40000,1994-10-01,d004
55765,Kotesh,Noriega,M,40000,1987-05-29,d004
55979,Guangming,VanScheik,M,48757,1997-10-31,d005
55982,Marco,Conde,F,40000,1988-06-08,d004
55768,Shahid,Chandrasekhar,F,80701,1998-01-26,d001
55985,Ung,Aamodt,F,40000,1999-03-27,d004
55769,Geoffrey,Coombs,M,71836,1991-03-07,d007
56000,Mara,Fujisawa,M,40000,1991-08-03,d006
55774,Pramod,Pettey,F,52869,1998-05-18,d002
56003,Paraskevi,Ranta,M,54903,1993-06-18,d006
55777,Prodip,Chorvat,F,46011,1994-09-09,d006
56010,Noritoshi,Nyanchama,M,40000,1995-06-30,d004
56011,Odinaldo,Gils,M,61286,1995-09-10,d004
55781,Ymte,Lalonde,F,40000,1996-03-25,d009
56020,Alagu,Byoun,M,57056,1986-09-05,d005
56021,Kshitij,Morris,M,40000,1990-08-30,d004
56026,Martine,Farris,M,48601,1991-04-05,d005
55783,Adam,McFarlin,F,55855,1995-04-26,d004
56034,Hinrich,Jayawardene,F,47256,1998-09-26,d005
56035,Avishai,Kaiser,M,81561,1988-05-08,d001
55784,Lijia,Luby,M,40000,1988-09-05,d001
56038,Herbert,Murthy,M,60002,1996-08-17,d009
56039,Greger,Nicolson,M,77982,1990-11-12,d007
55793,Tadahiro,Perry,M,81374,1997-07-14,d009
56049,Felicidad,Waymire,F,76782,1990-03-21,d009
56050,Jaroslava,Uhrik,M,50408,1995-11-07,d007
56052,Sudhanshu,Markovitch,F,62601,1993-02-21,d007
55798,Pasqua,Knightly,F,63896,1988-05-23,d001
56058,Christoper,Schapire,F,54817,1987-08-21,d007
56064,Basem,Rijsenbrij,M,45692,1995-08-01,d008
55806,Adin,Grospietsch,M,58600,2000-02-13,d008
55807,Brendon,Holburn,M,69357,1999-06-21,d005
55809,Sergi,Ertl,M,40000,1993-04-09,d005
55812,Kiyotoshi,Milicia,M,63748,1997-05-21,d006
55825,Lech,Fairtlough,M,40000,1998-11-17,d009
56069,Isamu,Gimbel,F,40000,1995-02-24,d008
56071,Augustine,Orsini,F,72445,1993-03-11,d005
56075,Shih,Denis,F,40000,1992-08-30,d005
56081,Charlene,Ravishankar,M,40000,1991-05-31,d004
56086,Yuuichi,Cooman,F,87163,1996-09-01,d007
56087,Fumitaka,Zykh,M,85859,1995-06-19,d004
56090,Teunis,Serot,M,45287,1992-07-23,d004
56098,Bernd,Tsunoo,M,40000,1991-06-02,d004
56106,Saeko,Chiola,M,57895,1987-08-07,d007
56110,Jouni,Reeken,F,40000,1997-10-01,d005
56114,Masadi,Krone,M,48581,1998-10-21,d005
56115,Breannda,Peltason,M,51873,1996-11-07,d007
56118,Atreye,Thiran,M,50479,1990-10-01,d006
56125,Heon,Thombley,M,97722,1999-03-15,d005
56127,Subbu,Sidje,M,61215,1993-07-02,d001
56135,Heping,Bade,M,60664,2000-05-26,d007
56136,Ramya,Buchter,F,108990,1994-04-02,d007
56142,Shuho,Rothe,F,40000,1989-01-07,d009
56143,Sakthirel,Bondorf,M,69862,1987-10-06,d007
56146,Gilbert,Glowinski,M,40000,1997-09-11,d005
56156,Honglan,Frijda,F,46563,1994-06-10,d004
56157,Sajjad,Cannane,F,40000,1989-10-22,d008
56159,Zengping,Shumilov,F,52527,1995-03-22,d005
56163,Huiqun,Thisen,F,52746,1986-02-12,d004
56167,Djenana,Tibblin,M,54128,1993-07-09,d007
56169,Jeanne,Zlotek,F,50798,1998-01-28,d004
56173,Barun,Erde,F,40000,1997-09-23,d009
56176,Eldridge,Siksek,F,43851,1990-11-27,d002
56177,Yucel,Colorni,M,59360,1986-11-28,d005
56180,Chenxi,Luff,M,46514,2001-01-20,d009
56186,Shigeu,Ecklund,M,51846,1990-01-10,d005
56187,Youpyo,Lienhardt,M,40000,1988-12-26,d008
55832,Chikako,Sidje,M,40000,1998-08-04,d004
56188,Mabhin,Eppinger,M,52137,1993-11-25,d007
56195,Pascal,Hashii,M,42669,1989-05-10,d005
56198,Duro,Brattka,F,60000,1998-05-23,d006
56200,Marsja,Demian,M,73410,1997-06-10,d001
56203,Divier,Baranowski,F,84530,1996-07-13,d007
55835,Nechama,Waymire,M,57430,2000-10-18,d007
56208,Masoud,Segond,M,76102,1994-10-21,d007
55843,Hailing,Leivant,M,77189,1994-09-12,d004
56217,Gao,Zizka,M,59376,1991-05-09,d002
56218,Yuguang,Douceur,M,81350,1999-04-28,d001
56219,Tonny,Michaeli,M,40000,2000-02-20,d004
55848,Anneli,Ozeri,F,46950,1989-01-01,d001
56225,Miquel,Rusmann,F,40000,1991-06-17,d005
56227,Shen,Makrucki,F,52748,1997-07-31,d007
56229,Pascal,Marakhovsky,M,51497,1996-01-02,d004
55851,Guadalupe,Velardi,M,40000,1986-03-01,d004
56235,Subir,Vanwelkenhuysen,F,40000,1990-08-01,d005
56239,Sariel,Zultner,F,40000,1989-01-25,d004
55861,Alois,Delgrande,M,40000,2000-10-06,d004
56242,Rayond,Koshiba,M,51253,1994-06-10,d008
56243,Maha,Oxman,M,58688,1992-08-14,d009
56247,Shooichi,Denny,F,42314,2000-07-23,d005
55864,Eldridge,Hutter,M,48687,1993-09-13,d007
55866,Ult,Puoti,M,40000,1992-06-20,d006
55867,Piyawadee,Guerreiro,M,40000,1993-01-19,d009
55872,Basant,Quittner,M,52459,1990-06-12,d005
55876,Jacopo,Hennebert,F,40000,1996-07-31,d009
56437,Prodip,Feldmann,F,46651,2000-12-31,d005
56254,Yechezkel,Lunt,F,40000,1995-07-14,d009
56260,Kayoko,Farrar,F,40000,1998-06-24,d004
56261,Marjo,Herath,M,61659,1997-03-12,d005
56262,Dharmaraja,Androutsos,M,52809,1991-07-15,d008
56267,Taisook,Serre,M,47461,1995-06-12,d004
56270,Gian,Reinhard,F,52523,1998-02-28,d005
56271,Huai,Plavsic,M,40000,1993-07-16,d005
56272,Tremaine,Furudate,M,40000,2001-01-11,d009
56279,Xiaopeng,Ramsay,F,58735,1995-10-29,d003
56281,Sanjoy,Brizzi,M,40000,1987-01-16,d003
56439,Sangeeta,Henders,F,40267,1988-03-17,d005
56292,Maik,Barbanera,F,69931,1996-03-23,d007
56445,Chikara,Liesche,F,40000,1988-01-31,d005
56296,Lobel,Suessmith,M,40040,1992-05-19,d004
56298,Gro,Peir,F,64827,1987-11-05,d005
56300,Serge,Zobel,M,47009,1988-10-16,d005
56448,Kayoko,Covnot,F,46867,1989-11-06,d005
56303,Duri,Vendrig,M,71651,1999-10-17,d001
56304,Luerbio,Bardell,M,44375,2000-12-31,d005
56306,Mack,Lindqvist,M,66646,1989-07-20,d005
56451,Yuchang,Massonet,M,40000,1998-10-05,d005
56312,Jaber,Baek,F,40000,1992-09-22,d005
56314,Bowen,Morrey,F,48899,1987-09-07,d007
56455,Khaled,Juneja,M,66981,1990-02-02,d001
56319,Yishai,Broder,M,60382,1998-02-06,d007
56325,Subir,Gniady,M,40000,1986-12-02,d009
56463,Maja,Staudhammer,F,40000,1998-06-03,d005
56326,Mantis,Juneja,M,62808,2000-07-08,d004
56327,Holgard,Karunanithi,M,46570,1988-03-02,d004
56328,Surveyors,Rullman,F,46503,1993-01-26,d006
56329,Zhenhua,Naumovich,F,51821,1988-02-22,d005
56333,Jiann,Gini,M,64202,1998-05-25,d006
56468,Zsolt,Haldar,F,49922,1986-12-30,d005
56336,Fai,Sgarro,M,60343,1988-08-21,d002
56339,Arunas,Gill,M,55077,1994-03-17,d008
56476,Danae,Chiola,F,40000,1996-02-19,d005
56348,Limsoon,Alameldin,M,49654,1990-04-07,d004
56350,Boguslaw,Ariola,M,94476,1986-12-04,d009
56486,Steen,Lindqvist,F,60846,1994-08-02,d007
56364,Zdislav,Bakhtari,F,67809,1991-09-27,d002
56366,Aleksander,Szmurlo,M,40000,1999-03-18,d004
56368,Doowon,Angel,M,57178,1989-06-07,d006
56487,Kwun,Hoogerwoord,F,54832,2000-02-25,d004
56377,Mountaz,Taubenfeld,F,78603,1991-04-06,d007
56378,Shichao,Lowrie,M,46081,1994-01-11,d004
56488,Tze,Cherinka,M,64424,1992-03-29,d007
56380,Shuzo,Atchley,M,52819,1991-05-26,d005
56382,Valery,Bardell,F,83122,1995-12-28,d007
56489,Jiakeng,Passafiume,M,40000,1991-06-19,d008
56495,Lokesh,Genther,F,40000,2000-12-29,d004
56389,Ronghao,Ghandeharizadeh,M,40000,1997-08-05,d005
56393,Ute,Kolvik,F,40000,1992-08-06,d008
56400,Froduald,Munke,M,46357,1993-06-01,d005
56502,Dipayan,Ulupinar,F,40000,1988-08-27,d005
56403,Alagu,Honglei,M,93081,1995-09-04,d007
56406,Sachem,Schusler,F,54333,1999-10-23,d007
56410,Jordanka,Iisaku,M,67570,1993-03-21,d005
56503,Tsvetan,Zwicker,F,50321,1997-09-10,d005
56420,Limsoon,Hiltgen,M,47479,2000-08-28,d004
56423,Eckart,Huhdanpaa,M,40000,1990-03-31,d005
56424,Premsyl,Antonisse,M,42094,1992-12-19,d002
56426,Shigeu,Brlek,M,46660,2000-05-08,d008
56430,Tesuya,Klassen,F,55753,1986-11-08,d007
56621,Shahab,Knightly,M,40000,1999-08-04,d005
56628,Mark,Esposito,F,43484,1999-04-25,d004
56633,Percy,Varker,M,63012,2000-10-10,d008
56634,Haldun,Demke,F,55823,1991-12-22,d006
56637,Kwangho,Birnbaum,M,54486,1994-03-13,d002
56638,Ortrud,Bach,F,43362,1992-06-24,d004
56643,Jayson,Ghazalie,M,44199,1988-02-29,d003
56648,Mantis,Ranka,F,68871,1990-07-04,d007
56654,Moie,Badr,M,40000,2000-12-12,d005
56655,Martijn,Klassen,M,71576,2000-11-17,d009
56657,Kristian,Cichocki,F,64936,1990-11-27,d009
56659,Takahiro,Lanteri,M,40000,1998-10-10,d004
56660,Frazer,Veeraraghavan,M,80961,1997-10-12,d007
56661,Navid,Kornatzky,M,57402,1991-04-13,d007
56662,Rosita,Kirkerud,F,46256,1995-06-19,d001
56663,Eben,Takanami,F,40000,1987-10-05,d004
56666,Fumiyo,Pavlopoulou,M,44456,1991-05-11,d003
56667,Surveyors,Berstel,M,40000,1990-08-07,d006
56670,Georg,Falck,M,40000,1990-12-12,d003
56673,Bokyung,Bahi,M,70269,1991-04-25,d007
56678,Murthy,McAffer,M,68816,1988-02-29,d007
56680,Remmert,Brender,F,40000,1993-06-24,d009
56684,Qiwen,Yoshizawa,F,40000,1992-11-05,d006
56689,Eric,Heydon,M,40000,1997-07-31,d004
56692,Theirry,Serre,M,40000,1995-08-02,d004
56693,Vesna,Halloran,M,75602,1990-04-19,d007
56694,Aram,Godskesen,M,59613,1991-09-11,d005
56701,KayLiang,Kobuchi,M,55597,1986-03-20,d007
56702,Jinpo,Plessier,F,42763,1998-04-26,d006
56706,Zita,Rodier,M,40000,1989-08-30,d001
56708,Petter,Varker,F,42168,1997-04-25,d004
56709,Yahiko,Uchoa,F,40000,1997-09-28,d005
56715,Rasiah,Gurbaxani,M,74491,1986-06-02,d005
56726,Chuanti,Schmiedel,F,87032,1993-05-13,d007
56728,Lillian,Marakhovsky,M,47598,1996-04-18,d009
56732,Uma,Sudkamp,M,40000,1988-12-23,d008
56733,Qiwen,Siepmann,M,45258,1988-12-24,d003
56740,Sashi,Vuskovic,F,40771,1994-07-27,d005
56744,Yongqiao,Schwaller,M,48670,1988-05-05,d004
56745,Shai,Pulkowski,M,40000,1994-02-13,d004
56753,Foong,Madeira,M,54851,1997-11-29,d007
56758,Sungwon,Schlumberger,M,50798,2001-01-01,d005
56759,Fen,Gyimothy,M,40000,1998-02-11,d003
56762,Maia,Serra,F,68276,1999-07-25,d009
56763,Mahendra,Cangellaris,F,78593,1991-09-23,d007
56766,Elzbieta,Petereit,M,44517,1998-10-04,d005
56767,Mark,Trelles,M,44464,1990-08-12,d001
56772,Baocai,Luef,M,41474,1995-08-13,d004
56775,Sudhanshu,Attimonelli,F,53422,1994-09-19,d003
56790,Mayuko,Walston,F,51342,1992-10-12,d004
56799,Gita,Sooriamurthi,M,64964,1996-06-21,d007
56804,Arra,Heinisuo,M,71519,1987-12-09,d005
56805,Lech,Stifter,M,54959,1999-04-04,d005
56808,Yuriy,Anick,M,40000,1997-07-08,d003
56809,Dinkar,Ranon,F,40000,1990-05-10,d005
56818,Venkatesan,Imataki,M,40000,1990-06-10,d004
56826,Marsha,Ghandeharizadeh,M,57053,1995-09-22,d004
56831,Zvonko,Baaz,M,55845,1991-10-17,d005
56832,Jacopo,Falster,F,40000,1996-09-03,d004
56834,Aloke,Bressoud,M,96880,1998-01-09,d007
56839,Zeydy,Morrow,M,59002,1990-08-02,d006
56844,Kiyotoshi,Malabarba,M,40000,2000-11-04,d004
56852,Stafford,Khamsi,M,40000,1991-02-03,d006
56853,Monique,Bennis,M,53303,1999-04-06,d006
56859,Conor,Jansen,F,40000,1992-02-20,d003
56861,Premal,Bondorf,M,40000,1999-06-01,d004
56862,Ymte,Thimonier,F,59713,1986-04-02,d007
56867,Jaques,Luiz,M,40000,1991-03-01,d009
56868,Kensyu,Babb,M,50579,1995-11-25,d005
56873,Jaber,Delgrande,M,47104,1986-12-08,d009
56874,Karsten,Laventhal,M,40000,1995-03-18,d001
56878,Changho,Domenig,F,47834,1993-01-30,d002
56879,Arne,Junet,M,40000,1989-11-04,d008
56880,Parto,Vendrig,F,60200,1990-10-08,d007
56883,Honglan,Busillo,M,59504,1988-12-02,d008
56887,Fabrizio,Itschner,M,53241,1999-06-26,d007
56890,Zvonko,Rajaraman,M,70711,1993-07-19,d007
56893,Jixiang,Bhattacharjee,F,46303,1994-05-09,d004
56894,Sajjan,Clouatre,M,47680,1996-03-29,d004
56899,Shiv,Steinauer,M,40000,1989-04-17,d008
56901,Sverrir,Fordan,M,47194,1999-01-05,d004
56903,Giordano,Schusler,M,40000,1997-06-21,d009
56905,Insup,Genin,M,71558,1989-04-04,d007
56907,Xianlong,Guenter,M,40000,1990-05-08,d004
56912,Felicidad,Polupanov,F,40000,1997-06-01,d005
56923,Djelloul,Zuberek,F,47336,1986-12-23,d009
56925,Sverrir,Kilgore,F,74312,1989-01-05,d007
56929,Duro,Lung,F,70217,1993-06-11,d002
56934,Dekang,Kaltofen,F,49240,1999-05-18,d005
56936,Bernice,Wendorf,F,40000,1989-10-23,d005
56938,Thodoros,Flowers,F,42399,1986-12-10,d001
56942,Morrie,Reistad,M,40000,1998-09-04,d008
56943,Kendra,Mapelli,F,76717,1996-12-25,d007
56945,Fay,Nanard,F,40000,1999-02-15,d004
56950,Saeed,Edelhoff,M,78446,1995-11-20,d007
56952,Itzchak,Leppanen,M,60584,1989-10-14,d005
56954,Reuven,Peir,M,40000,1995-02-20,d009
56955,Lucian,Gihr,F,60685,2000-06-29,d004
56956,Dante,Showalter,F,40000,1993-09-11,d009
56961,Guoxiang,Peyn,M,91125,1998-05-07,d009
56968,Divier,Garigliano,M,76463,2001-01-27,d002
56972,Shigeo,Schlumberger,M,40000,1998-07-18,d004
56975,Samphel,Sudkamp,F,60510,1996-12-20,d005
56981,Marsja,Tischendorf,M,58424,2001-01-28,d001
56984,Guiseppe,Erni,M,40000,1987-11-27,d004
56985,Pranav,Bolotov,F,44838,1986-11-02,d001
56990,Dinkar,Hanratty,M,40000,1995-03-24,d004
56991,Keung,Laurillard,F,40000,1991-11-17,d003
57000,Toshiko,Lortz,M,99120,1992-08-10,d007
57004,Guther,Peris,F,61693,1991-11-24,d004
57006,Dung,Middleton,M,41975,1999-07-10,d004
57022,Michaela,Keustermans,M,40000,1996-01-23,d005
57026,Tuval,Gyimothy,F,40000,1988-11-29,d005
57027,Niranjan,Conta,M,42963,1996-08-08,d001
57040,Arup,Lagarias,M,79308,1987-04-24,d007
57043,Jaber,Falco,F,40000,1989-06-24,d005
57045,Luise,Picci,M,68714,1993-01-02,d002
57048,Sanjay,Suomi,F,40000,1987-03-15,d009
57049,Eberhardt,Pettit,M,40000,1993-09-10,d004
57055,Divine,Kitai,F,44877,1994-07-20,d003
57064,Arco,Serov,M,40000,1991-11-26,d005
57068,Mari,Rabehasaina,F,40000,1991-12-08,d004
57071,Wilmer,Stenning,M,40000,1988-10-01,d004
57075,Alexius,Duclos,M,40000,1995-08-19,d009
57078,Itzchak,Polupanov,M,40000,1989-05-14,d004
57079,Shay,Rassart,M,70130,1986-08-23,d005
57080,Odinaldo,Sooriamurthi,M,40000,1996-12-29,d005
57087,Niranjan,Giarratana,M,40000,1991-03-06,d005
57095,Kellyn,Verhoeff,M,40000,1995-08-08,d005
57106,Shridhar,Chiodo,F,40000,1996-01-09,d009
57107,Shigenori,Serre,F,40000,1992-08-22,d007
57110,Gou,Stellhorn,M,75574,1986-05-24,d007
57111,Armond,Suermann,F,40000,1992-12-29,d005
57112,Leandro,Dolinsky,M,61907,1999-04-11,d004
57115,Nirmal,Zobel,M,60760,2000-01-17,d005
57118,Xinan,Champarnaud,F,48977,1999-07-29,d005
57119,Aleksandar,Bondorf,M,52304,1990-01-20,d003
57123,Fatemeh,Zedlitz,M,42556,2000-04-24,d005
57124,Kwangyoen,Benzmuller,M,40000,1996-11-09,d009
57135,Christ,Dolinsky,F,58771,1998-02-05,d007
57139,Arco,Merel,F,40000,2000-05-02,d001
57144,Arunachalam,Salinas,M,40000,1990-09-01,d004
57150,Jayesh,Leivant,F,59430,1999-10-05,d005
57153,Rosine,Azumi,F,80425,1993-10-30,d002
57155,Lene,Brattka,F,52209,1996-08-16,d007
57164,Manu,Gecsel,M,68441,1999-11-16,d007
57169,Kiam,Schiper,M,49276,1988-04-15,d003
57176,Pranav,Stenning,F,40000,1987-10-03,d004
57177,Souichi,Papsdorf,M,69292,1996-10-16,d002
57178,Oldrich,Rousseau,M,84334,1996-05-19,d007
57179,Danai,Alencar,F,63927,1999-10-18,d004
57180,Hein,Byoun,F,48534,1993-11-16,d005
57184,Takushi,Cooke,F,40000,1990-09-03,d004
57188,Taiji,Juneja,F,40000,1996-06-20,d008
57190,Youpyo,Uhrik,F,68808,1995-04-16,d003
57194,Eishiro,Frolund,M,53142,1996-10-23,d004
57198,Yucel,Noriega,M,43540,1992-04-23,d004
57202,Subhrajyoti,Maksimenko,F,40000,2001-01-25,d009
57205,Mohd,Verspoor,F,40000,1995-11-15,d005
57208,Xiaoqiu,Greibach,M,40000,1995-09-24,d009
57210,Odinaldo,Veccia,F,72275,1989-02-12,d001
57211,Uta,Undy,M,40000,1986-03-01,d005
57217,Freyja,Sommer,M,42425,1997-05-21,d005
57218,Masamitsu,Ranum,F,40000,1990-06-21,d004
57223,Danel,Copas,M,72443,1997-04-14,d005
57229,Haldon,Usery,M,52710,1997-07-17,d007
57230,Vincent,Bennis,M,68368,1990-06-22,d001
57233,Hein,Murillo,M,52331,2000-11-11,d005
57234,Junsik,Veldwijk,M,72060,1986-10-08,d001
57242,Tetsushi,Lowrie,F,53564,1988-12-14,d005
57243,Shushma,Matteis,M,40000,1991-09-11,d004
57246,Uinam,Bamford,F,45547,1993-03-05,d001
57248,Xiaocheng,Frolund,M,40000,1992-05-25,d004
57255,Hyuckchul,Rodiger,F,40116,1994-08-17,d003
57256,Tomoyuki,Kalafatis,F,51088,1997-05-27,d008
57261,Xinan,Usdin,F,55820,1997-05-22,d004
57262,Steve,Yavatkar,F,69222,1989-01-30,d007
57267,Tze,Montresor,M,62561,1993-06-10,d002
57269,Tesuro,Berztiss,M,46054,1986-06-28,d003
57272,Neelam,Siprelle,M,40000,1996-04-06,d004
57279,Rafail,Swab,M,84427,2001-01-31,d007
57294,Sariel,Engelmann,M,61930,2001-01-03,d008
57295,Armond,Carrera,M,82992,1999-02-14,d004
57297,Tamiya,Benaini,M,74639,1986-02-24,d001
57300,Alejandro,Uhrig,M,50258,1999-12-26,d007
57303,Kiyotoshi,Oskamp,F,74464,1991-05-01,d007
57308,Gritta,Parfitt,F,40000,1992-02-14,d005
57311,Alenka,Maliniak,F,52690,1992-02-17,d005
57312,Muzhong,Preusig,M,51026,1997-11-22,d004
57314,Ymte,Zyda,F,59072,1995-04-08,d004
57324,Abdelghani,Gajiwala,M,55423,1995-08-01,d005
57328,Gopalakrishnan,Silva,F,47330,1998-10-22,d004
57331,Visit,Passino,M,60828,1990-04-10,d006
57335,Francoise,Casperson,M,40000,1988-01-21,d001
57337,Vasiliy,Rabehasaina,M,62357,1993-05-06,d004
57338,Mostafa,Rouquie,M,65175,1991-11-23,d007
57340,Gro,Constantine,F,60164,1990-08-19,d005
57342,Arnd,Krychniak,F,64880,1995-05-07,d004
57349,Debaprosad,Bondorf,M,55872,1997-04-17,d005
57350,Aluzio,Georgakopoulos,M,40000,1987-03-25,d004
57355,Shahar,Condotta,F,53670,1999-02-18,d006
57367,Zissis,Fabrizio,F,40000,1993-03-26,d005
57373,Mabry,Zhiwei,M,67731,1991-04-29,d007
57377,Adel,Slobodova,F,40000,1996-08-14,d005
57379,Pranay,Pollacia,M,40000,1994-06-15,d009
57380,Bodh,Verhoeff,F,40000,1988-02-19,d005
57384,Chirstian,Birch,M,58928,1996-02-05,d004
57390,Isamu,Perl,M,90128,1998-05-11,d005
57392,Yechezkel,Detkin,M,62855,1990-01-15,d009
57397,Xiaocheng,Hmelo,M,69434,1991-02-05,d002
57398,Premal,Puppo,F,79089,1998-08-01,d007
57417,Gino,Aseltine,M,45909,2000-02-07,d004
57421,Girolamo,Liesche,F,67806,1997-11-21,d006
57426,Yannik,Lorch,F,40000,1988-02-11,d005
57427,Adit,Kalefeld,M,40000,1998-03-13,d004
57429,Krister,Zhang,M,40000,1990-04-03,d006
57442,Arvin,Klassen,M,41450,1993-11-15,d005
57450,Shridhar,Lagarias,M,81930,1988-08-16,d007
57457,Iara,Haumacher,M,53635,1996-09-26,d005
57463,Tetsushi,Ranon,M,40000,1995-12-21,d009
57464,Weidon,Benveniste,M,66008,1987-04-23,d009
56506,Martijn,Claffy,M,40000,1991-10-16,d005
57468,Collette,Roccetti,F,60998,1999-02-08,d005
57472,Stepehn,Willoner,M,40000,2000-04-06,d004
57474,Gilbert,Katalagarianos,M,82745,1995-01-08,d001
57475,Parviz,Takanami,M,44777,1987-03-06,d003
57476,Badri,Staudhammer,M,79387,1989-09-29,d007
57477,Kellyn,Rijsenbrij,M,42108,1997-06-14,d005
56510,Radhakrishnan,Brattka,M,40000,1986-09-01,d006
57485,Georgy,Ligten,M,40000,1988-07-25,d009
57487,Yefim,Majewski,M,50024,1988-10-11,d003
57488,Junichi,Shimshoni,M,56711,1997-06-29,d005
57489,Jaihie,Benaini,M,63167,1986-06-18,d005
57492,Parto,Miyakawa,M,40000,1988-04-23,d007
57503,Yefim,Spinelli,M,50575,1995-10-08,d004
57508,Muneo,Rousseau,M,51043,1986-04-30,d007
57511,Weidon,Crabtree,M,83435,1987-02-28,d001
57513,Zorica,Merli,M,40000,2000-02-26,d005
57524,Masamitsu,Chartres,F,40000,1987-02-21,d009
57525,Herbert,Dechter,F,63116,1996-10-23,d007
57526,Hatim,Denis,M,70875,1995-08-01,d007
57531,Tonia,Tomescu,F,60218,1990-10-31,d006
57532,Yannis,Cochrane,F,40000,1986-11-29,d009
57535,Dante,Petereit,M,40000,1999-12-25,d004
57537,Yannis,Hoogerwoord,M,64262,2000-10-14,d001
57540,Shounak,Armand,M,40000,1991-06-12,d005
57544,Gererd,Lammel,F,47378,1987-04-11,d005
57546,Lena,Schoegge,F,61041,1991-03-06,d002
57547,Jaber,Stafford,F,40000,1996-10-22,d004
57548,Unal,Gihr,F,40000,2000-05-10,d004
57561,Mototsugu,Munos,M,52211,1991-04-01,d002
57566,Masami,Barinka,F,40000,1997-02-19,d005
57568,Toshimori,Gornas,F,40000,1993-08-10,d005
57575,Kellie,Schurmann,F,56401,1995-11-12,d005
57577,Piyush,Holburn,F,56315,1993-07-29,d007
57578,Moheb,Fioravanti,F,50124,1990-05-22,d004
57580,Mrinalini,Krupka,F,40000,1992-04-04,d004
57581,Uta,Riesenhuber,F,40000,1999-12-05,d006
57596,Shigehito,Schahn,F,67634,1993-07-15,d007
57598,Lokesh,Heinisuo,F,40000,1992-10-03,d007
57601,Kazuyasu,Brobst,F,55513,1995-09-23,d007
57603,Arunas,Frezza,F,61488,1989-03-26,d005
57609,Greger,Casperson,M,40000,1997-03-15,d005
57610,Khaled,Vecchi,F,63473,2000-10-05,d007
